pc_time,line
1790312475.382324,"CSI_DATA,0,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3412108,0,100,0,128,1,""[100,-64,5,0,-36,8,-34,10,-30,11,-26,11,-21,10,-16,8,-12,5,-8,1,-4,-3,-2,-8,-1,-13,0,-18,0,-22,-1,-25,-2,-27,-2,-28,-2,-28,-2,-28,-1,-26,0,-23,1,-19,2,-15,4,-10,5,-6,7,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-1,-16,1,-12,3,-7,5,-1,6,5,6,11,7,16,7,21,8,26,8,29,9,31,10,32,11,31,12,29,12,26,11,22,9,17,7,12,3,8,-2,4,-8,1,-13,-1,-19,-2,-25,-2,-29,-1,-33,0]"""
1790312475.387714,"CSI_DATA,1,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3413897,0,83,0,128,1,""[83,-80,4,0,-35,-22,-35,-19,-32,-15,-29,-11,-24,-8,-18,-6,-11,-5,-5,-5,2,-6,8,-8,13,-11,17,-15,19,-18,20,-20,21,-22,22,-23,21,-23,20,-22,18,-19,16,-15,14,-11,11,-5,8,0,5,5,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,13,-18,12,-14,11,-9,8,-3,4,3,0,9,-4,15,-8,20,-12,25,-15,28,-17,31,-17,33,-16,34,-14,33,-11,32,-9,28,-6,24,-5,18,-5,12,-5,5,-6,-2,-10,-9,-13,-15,-17,-20,-22,-24,-26,-26]"""
1790312475.391451,"CSI_DATA,2,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3422201,0,83,0,128,1,""[83,-80,4,0,-4,-37,-6,-35,-7,-31,-7,-27,-7,-21,-5,-16,-3,-10,1,-6,5,-2,9,2,14,4,18,5,22,5,25,5,27,5,27,4,27,3,25,3,22,3,19,4,14,5,9,6,3,6,-2,6,-6,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,20,-1,17,1,12,3,6,4,0,5,-7,6,-13,6,-19,6,-24,6,-29,6,-31,6,-33,6,-33,7,-32,9,-29,9,-25,9,-21,8,-16,7,-11,3,-6,-1,-2,-6,1,-12,4,-18,5,-23,4,-29,3,-32]"""
1790312475.398341,"CSI_DATA,3,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3430234,0,83,0,128,1,""[83,-80,4,0,24,-32,21,-32,18,-31,14,-28,11,-24,8,-19,6,-13,5,-7,4,0,6,6,8,11,10,15,13,19,16,22,17,23,18,24,19,23,18,23,16,21,14,20,10,17,6,15,2,12,-3,8,-6,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,12,7,10,1,8,-4,4,-9,0,-14,-5,-19,-9,-23,-13,-27,-16,-30,-19,-31,-20,-32,-20,-33,-19,-31,-16,-29,-14,-26,-11,-21,-9,-16,-7,-9,-5,-2,-5,4,-6,11,-9,17,-12,22,-16,25,-20,27,-23]"""
1790312475.407800,"CSI_DATA,4,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3440179,0,83,0,128,1,""[83,-80,4,0,-1,-41,-3,-39,-4,-36,-5,-31,-6,-26,-5,-20,-3,-14,0,-9,4,-3,8,1,13,4,18,6,22,7,25,8,28,8,29,8,30,7,29,7,27,7,23,7,19,8,14,8,8,8,2,8,-2,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,1,12,2,6,4,0,5,-7,6,-14,6,-20,6,-26,5,-31,5,-35,5,-37,5,-37,5,-37,6,-34,7,-31,8,-27,8,-22,7,-16,5,-11,1,-5,-3,0,-8,3,-14,6,-21,8,-26,8,-32,7,-36]"""
1790312475.423996,"CSI_DATA,5,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3453268,0,83,0,128,1,""[83,-80,4,0,31,16,31,14,29,11,26,8,21,6,16,4,10,3,5,2,-1,3,-6,4,-11,6,-15,8,-18,11,-20,13,-21,15,-23,16,-23,16,-23,15,-21,13,-20,11,-17,8,-14,4,-11,1,-7,-3,-4,-5,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-3,14,-5,10,-5,5,-5,-1,-4,-7,-2,-13,0,-19,2,-24,3,-28,4,-31,4,-33,4,-33,3,-33,2,-31,1,-28,-1,-24,-1,-20,-1,-15,0,-9,2,-3,5,3,9,8,13,12,17,16,21,18,25,20]"""
1790312475.438918,"CSI_DATA,6,98:77:e7:2d:f8:74,-53,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3461255,0,83,0,128,1,""[83,-80,4,0,-23,28,-20,27,-16,26,-13,23,-10,18,-7,13,-5,7,-4,1,-4,-5,-6,-11,-8,-16,-9,-19,-11,-22,-13,-24,-15,-25,-15,-24,-14,-23,-13,-21,-11,-19,-8,-16,-4,-13,0,-9,3,-5,6,-1,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-20,-10,-16,-10,-11,-10,-6,-8,0,-6,5,-3,11,1,16,4,20,8,25,10,28,11,30,11,31,11,31,9,29,8,26,6,22,4,17,3,11,2,4,2,-2,4,-9,6,-15,10,-19,14,-22,18,-23,21]"""
1790312475.438918,"CSI_DATA,7,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3470200,0,83,0,128,1,""[83,-80,4,0,-20,-31,-21,-29,-20,-25,-18,-21,-16,-17,-12,-13,-8,-9,-4,-6,2,-4,7,-2,12,-1,17,-2,21,-2,23,-2,25,-3,27,-4,28,-5,27,-4,25,-3,22,-2,18,0,14,2,9,4,4,5,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-12,8,-8,6,-3,3,2,-1,7,-6,12,-10,16,-14,19,-17,22,-20,24,-21,25,-21,26,-20,26,-18,25,-16,23,-13,20,-10,16,-8,12,-6,6,-4,0,-4,-6,-4,-13,-6,-18,-8,-23,-11,-28,-13,-30]"""
1790312475.449746,"CSI_DATA,8,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3480199,0,83,0,128,1,""[83,-80,4,0,-17,-38,-18,-35,-17,-31,-16,-26,-14,-20,-10,-15,-6,-10,-1,-5,5,-2,11,1,16,2,21,2,26,2,28,2,30,1,31,0,30,0,29,0,25,1,21,2,16,3,10,5,4,6,-2,6,-6,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,16,-15,15,-11,12,-6,7,-1,2,4,-4,8,-9,12,-15,16,-20,19,-24,21,-27,23,-28,24,-27,25,-26,25,-23,24,-19,22,-16,19,-12,14,-8,9,-5,2,-3,-5,-2,-13,-3,-20,-4,-26,-6,-32,-9,-35]"""
1790312475.472492,"CSI_DATA,9,98:77:e7:2d:f8:74,-52,11,1,7,0,1,1,0,1,0,0,-96,0,1,0,3490242,0,83,0,128,1,""[83,-80,4,0,-24,27,-21,27,-18,26,-14,23,-11,18,-8,13,-5,7,-4,1,-3,-5,-3,-11,-4,-16,-5,-20,-7,-23,-9,-26,-10,-27,-10,-27,-10,-26,-9,-25,-7,-22,-5,-19,-2,-15,1,-11,3,-6,5,-1,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-20,-4,-16,-5,-11,-6,-5,-6,1,-4,7,-2,13,0,19,2,24,4,27,6,30,7,32,8,32,7,32,6,29,4,26,3,21,1,16,1,10,1,3,2,-4,3,-10,6,-16,10,-20,14,-23,18,-25,21]"""
